timestamp,k,state,T,T_pred_next,T_amb,omega,I,event
1770840967.1849215,182,RUN,25.5793,33.3565,30.3639,28.86,14.7880,
1770840967.2872891,183,RUN,25.5832,33.3571,30.3971,59.66,15.0000,
1770840967.3882906,184,RUN,25.5871,33.4876,30.4119,222.47,14.9652,
1770840967.4911048,185,RUN,25.5908,33.5720,30.3965,162.19,14.5523,
1770840967.5929196,186,RUN,25.5944,33.4457,30.3343,91.08,14.5240,
1770840967.6958768,187,RUN,25.5979,33.5809,30.3510,95.17,14.2178,
1770840967.7978544,188,RUN,25.6014,33.7097,30.3960,154.33,14.1539,
1770840967.8996632,189,RUN,25.6050,33.6602,30.3634,198.20,14.2291,
1770840968.0014837,190,RUN,25.6086,33.5088,30.2910,192.76,14.3339,
1770840968.1037848,191,RUN,25.6119,33.6475,30.2460,207.95,13.7520,
1770840968.2057674,192,RUN,25.6153,33.8462,30.3128,307.79,13.6510,
1770840968.3082943,193,RUN,25.6183,33.9080,30.3310,114.99,13.1884,
1770840968.4103124,194,RUN,25.6214,33.7582,30.3163,29.22,13.4742,
1770840968.5115154,195,RUN,25.6243,34.0150,30.4162,0.00,13.1392,
1770840968.6134956,196,RUN,25.6271,34.0428,30.4279,128.89,12.6503,
1770840968.7162697,197,RUN,25.6298,34.0791,30.4404,274.59,11.9896,
1770840968.818236,198,RUN,25.6323,34.1410,30.3763,240.70,11.7813,
1770840968.920069,199,RUN,25.6346,34.4287,30.4170,260.04,11.0713,
1770840969.0207622,200,RUN,25.6370,34.2573,30.4427,213.83,11.5811,
1770840969.1240823,201,RUN,25.6395,34.1354,30.4114,162.91,11.7976,
1770840969.2257795,202,RUN,25.6417,34.3762,30.4495,198.75,11.1233,
1770840969.3278475,203,RUN,25.6439,34.3040,30.4764,116.01,11.2174,
1770840969.429866,204,RUN,25.6461,34.4449,30.4052,151.71,10.8948,
1770840969.5305974,205,RUN,25.6483,34.4799,30.3411,208.82,10.9915,
1770840969.6331127,206,RUN,25.6505,34.5847,30.3104,324.91,10.8152,
1770840969.735125,207,RUN,25.6526,34.6671,30.3120,346.43,10.5673,
1770840969.836297,208,RUN,25.6547,34.6813,30.3356,303.75,10.4027,
1770840969.9391444,209,RUN,25.6563,34.8653,30.4037,220.50,9.4376,
1770840970.0412533,210,RUN,25.6581,34.7891,30.4842,424.45,9.2755,
1770840970.1440666,211,RUN,25.6598,34.9433,30.3874,399.61,9.1610,
1770840970.2462628,212,RUN,25.6615,34.9100,30.3779,310.54,9.3928,
1770840970.3488736,213,RUN,25.6633,34.7953,30.4041,190.99,9.6725,
1770840970.4510639,214,RUN,25.6650,34.7251,30.5068,204.74,9.5375,
1770840970.5524063,215,RUN,25.6665,34.8966,30.4997,253.97,8.8453,
1770840970.6539152,216,RUN,25.6682,34.7124,30.5079,222.73,9.5844,
1770840970.7558873,217,RUN,25.6699,34.8166,30.4992,356.16,9.1429,
1770840970.8581665,218,RUN,25.6715,34.8614,30.5285,381.71,8.7953,
1770840970.9607246,219,RUN,25.6731,34.8719,30.5374,478.71,8.6658,
1770840971.0627189,220,RUN,25.6746,35.0673,30.4528,477.31,8.3048,
1770840971.1634772,221,RUN,25.6759,35.2549,30.4357,470.78,7.6225,
1770840971.2658093,222,RUN,25.6772,35.4044,30.3549,509.35,7.4135,
1770840971.3666034,223,RUN,25.6785,35.5350,30.2267,572.13,7.5224,
1770840971.469122,224,RUN,25.6799,35.5118,30.1910,466.79,7.8567,
1770840971.5710988,225,RUN,25.6814,35.4297,30.2084,657.40,8.0248,
1770840971.6719463,226,RUN,25.6830,35.3288,30.2278,644.04,8.3515,
1770840971.7747917,227,RUN,25.6846,35.3296,30.2591,744.18,8.1430,
1770840971.8770514,228,RUN,25.6863,35.2861,30.2373,705.85,8.4593,
1770840971.9787047,229,RUN,25.6879,35.2370,30.3122,669.14,8.2894,
1770840972.0810742,230,RUN,25.6896,35.1284,30.3279,649.48,8.6702,
1770840972.1826625,231,RUN,25.6912,35.3547,30.2153,583.35,8.3572,
1770840972.2845225,232,RUN,25.6926,35.5568,30.0993,506.26,7.9912,
1770840972.3870115,233,RUN,25.6941,35.6256,30.0893,595.29,7.8932,
1770840972.4888692,234,RUN,25.6956,35.5426,30.0377,590.74,8.3128,
1770840972.5902483,235,RUN,25.6972,35.4822,29.9889,517.89,8.5363,
1770840972.6924255,236,RUN,25.6988,35.5120,29.9778,569.69,8.5308,
1770840972.7941484,237,RUN,25.7004,35.4608,30.0129,486.88,8.5260,
1770840972.8953826,238,RUN,25.7017,35.5931,30.0024,389.61,7.9006,
1770840972.997262,239,RUN,25.7029,35.6712,30.0367,361.54,7.4917,
1770840973.0992692,240,RUN,25.7040,35.9523,30.0319,451.78,6.5794,
1770840973.2012641,241,RUN,25.7051,35.8104,29.9570,377.95,7.1638,
1770840973.302728,242,RUN,25.7062,35.9487,29.9712,439.33,6.7078,
1770840973.404556,243,RUN,25.7072,35.9891,29.9152,475.16,6.7311,
1770840973.5480163,244,RUN,25.7084,35.9390,29.9426,460.14,6.8423,
1770840973.648701,245,RUN,25.7096,35.8754,29.9505,522.36,7.1651,
1770840973.7520816,246,RUN,25.7108,35.7423,29.8695,342.58,7.5658,
1770840973.852693,247,RUN,25.7118,35.8729,29.9289,260.93,6.8219,
1770840973.9546506,248,RUN,25.7130,35.7113,29.9339,335.40,7.5409,
1770840974.0576487,249,RUN,25.7141,35.7798,29.9597,305.66,7.1837,
1770840974.15965,250,RUN,25.7150,35.8776,29.9603,281.72,6.7777,
1770840974.2619567,251,RUN,25.7162,35.7593,30.0627,424.53,7.2321,
1770840974.3642437,252,RUN,25.7175,35.7461,30.0167,492.94,7.4879,
1770840974.466093,253,RUN,25.7189,35.7083,30.0388,592.91,7.7421,
1770840974.567794,254,RUN,25.7204,35.6584,30.0758,643.86,7.8784,
1770840974.66864,255,RUN,25.7218,35.7855,29.9866,650.55,7.6559,
1770840974.7707424,256,RUN,25.7235,35.6946,29.9226,785.10,8.3475,
1770840974.8723023,257,RUN,25.7253,35.4720,29.9906,805.51,8.8878,
1770840974.9746568,258,RUN,25.7271,35.6129,29.9912,821.74,8.4504,
1770840975.0762222,259,RUN,25.7287,35.7138,30.0110,826.57,7.9293,
1770840975.1772077,260,RUN,25.7304,35.5455,30.0085,820.19,8.6483,
1770840975.2800999,261,RUN,25.7323,35.4658,30.0532,821.11,8.7479,
1770840975.3818986,262,RUN,25.7340,35.5701,30.0554,804.87,8.3149,
1770840975.4826386,263,RUN,25.7355,35.7075,30.0478,745.19,7.8148,
